"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 08 19:49:15 UTC 2025","Mon Sep 08 19:49:15 UTC 2025","610","Booker Tests","BookingApiTests","api.booking.GetBookingTests","api.booking.GetBookingTests","getBookingsFiltersCheckinDateIncorrectTypeReturnBadParams","getBookingsFiltersCheckinDateIncorrectTypeReturnBadParams",""
"passed","Mon Sep 08 19:49:21 UTC 2025","Mon Sep 08 19:49:21 UTC 2025","372","Booker Tests","BookingApiTests","api.booking.PatchBookingTests","api.booking.PatchBookingTests","patchBookingMissingAuthTokenReturns403","patchBookingMissingAuthTokenReturns403",""
"passed","Mon Sep 08 19:49:18 UTC 2025","Mon Sep 08 19:49:18 UTC 2025","114","Booker Tests","BookingApiTests","api.booking.PutBookingTests","api.booking.PutBookingTests","putBookingWithoutAuthReturns403","putBookingWithoutAuthReturns403",""
"failed","Mon Sep 08 19:49:20 UTC 2025","Mon Sep 08 19:49:20 UTC 2025","370","Booker Tests","BookingApiTests","api.booking.PostBookingTests","api.booking.PostBookingTests","createBookingWithoutTotalPriceReturnBadParams","createBookingWithoutTotalPriceReturnBadParams",""
"passed","Mon Sep 08 19:49:20 UTC 2025","Mon Sep 08 19:49:21 UTC 2025","378","Booker Tests","BookingApiTests","api.booking.PatchBookingTests","api.booking.PatchBookingTests","patchBookingLastnameNoChangeInOtherFieldsIsSuccessful","patchBookingLastnameNoChangeInOtherFieldsIsSuccessful",""
"failed","Mon Sep 08 19:49:16 UTC 2025","Mon Sep 08 19:49:16 UTC 2025","133","Booker Tests","BookingApiTests","api.booking.PatchBookingTests","api.booking.PatchBookingTests","patchBookingIncorrectDataTypeFirstnameTotalpriceReturnsBadParams","patchBookingIncorrectDataTypeFirstnameTotalpriceReturnsBadParams",""
"passed","Mon Sep 08 19:49:20 UTC 2025","Mon Sep 08 19:49:20 UTC 2025","391","Booker Tests","BookingApiTests","api.booking.PutBookingTests","api.booking.PutBookingTests","putBookingInvalidBookingDatesReturnsBadParam","putBookingInvalidBookingDatesReturnsBadParam",""
"passed","Mon Sep 08 19:49:15 UTC 2025","Mon Sep 08 19:49:16 UTC 2025","113","Booker Tests","BookingApiTests","api.booking.DeleteBookingTests","api.booking.DeleteBookingTests","deleteBookingWithoutBookingIdReturns404","deleteBookingWithoutBookingIdReturns404",""
"failed","Mon Sep 08 19:49:26 UTC 2025","Mon Sep 08 19:49:26 UTC 2025","371","Booker Tests","BookingApiTests","api.booking.PatchBookingTests","api.booking.PatchBookingTests","patchBooking_non_existent_bookingId","patchBooking_non_existent_bookingId",""
"passed","Mon Sep 08 19:49:18 UTC 2025","Mon Sep 08 19:49:18 UTC 2025","389","Booker Tests","BookingApiTests","api.booking.PatchBookingTests","api.booking.PatchBookingTests","patchBookingFirstnameNoChangeInOtherFieldsIsSuccessful","patchBookingFirstnameNoChangeInOtherFieldsIsSuccessful",""
